
"0","",""
"1588138","TD4012E.TXT.r_1;TD4012E.TXT.r_2"," rgya gar skad du / / +sa manta bha dra tsarya pra ni dh'a nartha sam gra ha kri ti a'a ts'arya di ka n'a ga p'a de na / / ","0.0#TD4068E.TXT.r#588135#588148#TD4068E.TXT.r_2182;TD4068E.TXT.r_2183;TD4068E.TXT.r_2184# bar bar ni sems dang shes rab gnyis la dpyod pa gdags te / / +nam dpyod pa de bzhin du dpyod pa'i tshul du zhugs pa'i tshe na'o // / ","0.0#TD4068E.TXT.r#588148#588160#TD4068E.TXT.r_2184;TD4068E.TXT.r_2185;TD4068E.TXT.r_2183;TD4068E.TXT.r_2186# yang na sems 'ba' zhig la dpyod pa gdags te nam dpyod pa de mi dpyod pa'i tshul du zhugs pa'i tshe na'o // / ","0.023#TD4068E.TXT.r#587895#587895#TD4068E.TXT.r_2148;TD4068E.TXT.r_2149# yang na shes rab 'ba' zhig la rtog pa gdags te / / +nam rtog pa de rtog pa'i tshul du zhugs pa'i tshe na'o // / "
"1588155","TD4012E.TXT.r_3;TD4012E.TXT.r_4"," bod skad du / / +kun du bzang po'i spyod pa'i  smon lam gyi don kun bsdus te / / ","0.017#TD4068E.TXT.r#587886#587886#TD4068E.TXT.r_2147;TD4068E.TXT.r_2148# nam rtog pa de mi rtog pa'i tshul du gnas pa'i dus na'o // / +yang na shes rab 'ba' zhig la rtog pa gdags te / / "
"1588165","TD4012E.TXT.r_5;TD4012E.TXT.r_6"," slob dpon phyogs kyi glang po'i zhabs kyis mdzad pa / / +sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo // / ","0.0#TD4068E.TXT.r#588161#588172#TD4068E.TXT.r_2185;TD4068E.TXT.r_2186;TD4068E.TXT.r_2187# yang na shes rab 'ba' zhig la dpyod pa gdags te / / +nam dpyod pa de zhib tu dpyod pa'i tshul du zhugs pa'i tshe na'o // / "
"1588176","TD4012E.TXT.r_7;TD4012E.TXT.r_8"," kun du bzang po'i spyod pa'i smon lam la don rnam pa bcu yod do // / +'di lta ste / / ","0.0#TD4068E.TXT.r#588171#588185#TD4068E.TXT.r_2187;TD4068E.TXT.r_2188# gang sems zhib pa'o zhes bya ba ni sngar rtog pas bum pa tsam  zhig tu brtags pa'i 'og tu dpyod pa 'di ni bum pa'i nang na legs pa zhig yin / / "
"1588184","TD4012E.TXT.r_9"," de bzhin gshegs pa la phyag bya ba dang  de la  mchod pa dang  nyes pa bshags pa dang  bsod nams kyi rjes su yi rang ba dang  chos kyi 'khor lo rab tu bskor bar bskul ba dang  de bzhin gshegs pa bzhugs par gsol ba dang  dge ba'i rtsa ba rab tu bsags pa yongs su bsngo ba dang  de'i rab tu dbye ba dang  de'i  mtha' dang  de'i legs pa'o // / ","0.0#TD4068E.TXT.r#588185#588193#TD4068E.TXT.r_2187;TD4068E.TXT.r_2188# gang sems zhib pa'o zhes bya ba ni sngar rtog pas bum pa tsam  zhig tu brtags pa'i 'og tu dpyod pa 'di ni bum pa'i nang na legs pa zhig yin / / +'di ni ma legs pa zhig yin zhes phrar rtog par byed pas na sems zhib pa zhes bya ste des ni rang bzhin bstan to // / ","0.0#TD4068E.TXT.r#588193#588214#TD4068E.TXT.r_2188;TD4068E.TXT.r_2189;TD4068E.TXT.r_2190;TD4068E.TXT.r_2191;TD4068E.TXT.r_2192# 'di ni ma legs pa zhig yin zhes phrar rtog par byed pas na sems zhib pa zhes bya ste des ni rang bzhin bstan to // / "
"1588211","TD4012E.TXT.r_10"," de la phyogs bcu'i zhing dang dus thams cad du gshegs pa'i sangs rgyas rnams la lus dang ngag dang yid kyis phyag bya ba las brtsams te gsungs pa / / ","0.0#TD4068E.TXT.r#588206#588219#TD4068E.TXT.r_2191;TD4068E.TXT.r_2192# de la sems can gzhan la phan gdags na thabs 'di dang 'dis phan gdags so zhes gzhan la phan 'dogs pa'i rnam pa sna tshogs la rtog par byed pa ni dpyod pa dge ba'o // / ","0.0#TD4068E.TXT.r#588240#588243#TD4068E.TXT.r_2194;TD4068E.TXT.r_2195;TD4068E.TXT.r_2196;TD4068E.TXT.r_2193# yang na 'di'i las kyang bde ba dang mi bde bar gnas pa'i rten byed pa ste / / +gzhan la phan gdags pa'i thabs rnam pa sna tshogs la dpyod pa ni / / "
"1588224","TD4012E.TXT.r_11;TD4012E.TXT.r_12"," ji snyed su dag phyogs bcu'i zhes bya ba la sogs pa'o // / +lus kyis ni zhing gi rdul snyed la  sogs pa'o // / ","0.0#TD4068E.TXT.r#588220#588229#TD4068E.TXT.r_2192;TD4068E.TXT.r_2193;TD4068E.TXT.r_2194# gzhan la gnod par bya ba'i thabs sna tshogs la rtog pa ni dpyod pa mi dge ba'o // / "
"1588233","TD4012E.TXT.r_13;TD4012E.TXT.r_14"," yid kyis ni rdul gcig steng na rdul snyed la sogs pa'o // / +ngag gis ni de dag bsngags pa mi zad rgya mtsho zhes bya ba la sogs pa'o // / ","1.788#TD4068E.TXT.r#588243#588253#TD4068E.TXT.r_2195;TD4068E.TXT.r_2196;TD4068E.TXT.r_2197# gzhan la phan gdags pa'i thabs rnam pa sna tshogs la dpyod pa ni / / +bde ba'i rgyur 'gyur bas na bde bar gnas pa'i rten byed pa'o // / "
"1588247","TD4012E.TXT.r_15;TD4012E.TXT.r_16;TD4012E.TXT.r_17;TD4012E.TXT.r_18"," mchod pa ni rnam pa gnyis te / / +bla na yod pa dang  bla na med pa'o // / +bla na yod pa ni / / +tshigs su bcad pa gnyis kyis bstan te / / ","0.0#TD4068E.TXT.r#588241#588253#TD4068E.TXT.r_2195;TD4068E.TXT.r_2196;TD4068E.TXT.r_2197# gzhan la phan gdags pa'i thabs rnam pa sna tshogs LA DPYOD PA NI / / +bde ba'i rgyur 'gyur bas na bde bar gnas pa'i rten byed pa'o // / "
"1588255","TD4012E.TXT.r_19;TD4012E.TXT.r_20"," me tog dam  pa zhes bya ba la sogs pa'o // / +bla na med pa ni mchod pa gang rnams bla na med ces bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588242#588261#TD4068E.TXT.r_2195;TD4068E.TXT.r_2196;TD4068E.TXT.r_2197;TD4068E.TXT.r_2198# gzhan la phan gdags pa'i thabs rnam pa sna tshogs la dpyod pa ni / / +bde ba'i rgyur 'gyur bas na bde bar gnas pa'i rten byed pa'o // / "
"1588266","TD4012E.TXT.r_21"," rang bzhin dang gzhi dang gnas kyi nyes pa bshags pa las brtsams te gsungs pa / / ","0.0#TD4068E.TXT.r#588262#588269#TD4068E.TXT.r_2198;TD4068E.TXT.r_2199;TD4068E.TXT.r_2200;TD4068E.TXT.r_2201# rtog pa dang dpyod pa gnyis sems pa dang  shes rab kyi bye brag la gdags par 'dra na khyad par ci yod / / "
"1588274","TD4012E.TXT.r_22;TD4012E.TXT.r_23"," 'dod chags zhe sdang gti mug ces bya ba la sogs pa'o // / +bsod nams kyi rjes su yi rang ba'i  dbang du byas te gsungs pa / / ","0.0#TD4068E.TXT.r#588270#588280#TD4068E.TXT.r_2200;TD4068E.TXT.r_2201# de gnyis la khyad par yod de / / +de gnyi ga sems pa dang  shes  rab kyi bye brag la gdags par 'dra na yang rtog pa ni sems rtsing ba'i rang bzhin dpyod pa ni sems zhib pa'i rang bzhin yin pa'i phyir ro // / "
