
"0","",""
"442282","TD4024E.TXT.r_1;TD4024E.TXT.r_3"," theg pa chen po rgyud bla ma'i bstan bcos bzhugs so / / +rgya gar skad du / / "
"442290","TD4024E.TXT.r_4;TD4024E.TXT.r_5;TD4024E.TXT.r_6"," ma h'a ya na autta ra tantra sh'astra / / +bod skad du / / +theg pa chen po rgyud bla ma'i bstan bcos / / ","0.018#TD4025E.TXT.r#2165533#2165540#TD4025E.TXT.r_1;TD4025E.TXT.r_2;TD4025E.TXT.r_3;TD4025E.TXT.r_4# rgya gar skad du / / +ma H'A Y'A NA AUTTA RA TANTRA SH'ASTRA BY'A khya / / "
"442300","TD4024E.TXT.r_7;TD4024E.TXT.r_8"," sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo // / +sangs dd  rgyas chos tshogs khams dang byang chub dang / / ","0.011#TD4025E.TXT.r#2165551#2165556#TD4025E.TXT.r_5;TD4025E.TXT.r_6;TD4025E.TXT.r_7# SANGS RGYAS DANG BYANG CHUB SEMS DPA' THAMS CAD LA PHYAG 'TSHAL LO // / +sangs rgyas chos tshogs  KHAMS DANG BYANG CHUB DANG / / "
"442311","TD4024E.TXT.r_9;TD4024E.TXT.r_10"," yon tan sangs rgyas phrin las tha ma ste // / +bstan bcos kun gyi lus ni mdor bsdu na // / ","0.0#TD4025E.TXT.r#2165556#2165567#TD4025E.TXT.r_6;TD4025E.TXT.r_7;TD4025E.TXT.r_8;TD4025E.TXT.r_9# sangs rgyas chos tshogs  khams dang byang chub dang / / +yon TAN SANGS RGYAS PHRIN LAS THA MA STE // / "
"442320","TD4024E.TXT.r_11;TD4024E.TXT.r_12"," rdo rje yi ni gnas bdun 'di dag go / / +'di dag rang mtshan nyid kyi rjes  'brel ba // / ","0.0#TD4025E.TXT.r#2165919#2165922#TD4025E.TXT.r_52;TD4025E.TXT.r_53;TD4025E.TXT.r_54# bstan bcos 'di mtha'  dag gi lus la su rig par bya'o // / +'di DAG RANG MTSHAN NYID KYI RJES 'BREL BA // / "
"442329","TD4024E.TXT.r_13;TD4024E.TXT.r_14"," go rims ji bzhin gzungs kyi rgyal po'i mdor // / +gleng gzhi las ni gnas gsum rig bya ste // / ","0.0#TD4025E.TXT.r#2165921#2165937#TD4025E.TXT.r_53;TD4025E.TXT.r_54;TD4025E.TXT.r_55;TD4025E.TXT.r_56# 'di dag rang mtshan nyid kyi rjes 'brel ba // / +go RIMS JI BZHIN GZUNGS KYI RGYAL PO'I MDOR // / "
"442340","TD4024E.TXT.r_15;TD4024E.TXT.r_16"," gzhi ni blo ldan rgyal chos dbye ba las // / +sangs rgyas las chos chos las 'phags pa'i tshogs // / ","0.0#TD4025E.TXT.r#2166576#2166579#TD4025E.TXT.r_122;TD4025E.TXT.r_123# sangs RGYAS LAS CHOS CHOS LAS 'PHAGS PA'I TSHOGS // / "
"442354","TD4024E.TXT.r_17;TD4024E.TXT.r_18"," tshogs las snying po ye shes khams thob mthar // / +ye shes de thob byang chub mchog thob sogs // / ","0.0#TD4025E.TXT.r#2166578#2166592#TD4025E.TXT.r_122;TD4025E.TXT.r_123;TD4025E.TXT.r_124;TD4025E.TXT.r_125# sangs rgyas las chos chos las 'phags pa'i tshogs // / +tshogs LAS SNYING PO YE SHES KHAMS THOB MTHAR // / "
"442366","TD4024E.TXT.r_19;TD4024E.TXT.r_20"," sems can kun don byed chos rnams dang ldan // / +gang zhig thog ma dbus mtha' med zhi sangs rgyas nyid rang  rnam sangs rgyas // / ","0.0#TD4025E.TXT.r#2166632#2166639#TD4025E.TXT.r_132;TD4025E.TXT.r_133# gang ZHIG THOG MA DBUS MTHA' MED ZHI SANGS RGYAS NYID RANG RNAM SANGS RGYAS // / "
"442383","TD4024E.TXT.r_21"," sangs rgyas nas ni ma rtogs rtogs phyir 'jig med rtag pa'i lam ston pa // / ","0.0#TD4025E.TXT.r#2166638#2166648#TD4025E.TXT.r_132;TD4025E.TXT.r_133;TD4025E.TXT.r_134# gang zhig thog ma dbus mtha' med zhi sangs rgyas nyid rang rnam sangs rgyas // / +sangs RGYAS NAS NI MA RTOGS RTOGS PHYIR 'JIG MED RTAG PA'I  lam ston pa // / "
"442392","TD4024E.TXT.r_22"," mkhyen brtse'i ral gri rdo rje mchog bsnams sdug bsngal myu gu gcod mdzad cing // / ","0.0#TD4025E.TXT.r#2166647#2166659#TD4025E.TXT.r_133;TD4025E.TXT.r_134;TD4025E.TXT.r_135# sangs rgyas nas ni ma rtogs rtogs phyir 'jig med rtag pa'i  lam ston pa // / +mkhyen BRTSE'I RAL GRI RDO RJE MCHOG BSNAMS SDUG BSNGAL MYU GU GCOD MDZAD CING // / "
