
"0","",""
"2958579","TD4031E.TXT.r_1;TD4031E.TXT.r_2"," rgya gar skad du / / +s'u tr'a lam ka  ra pand'a rtha / / ","5.960#TD4034.1E.TXT.r#958578#958583#TD4034.1E.TXT.r_8835;TD4034.1E.TXT.r_8836;TD4034.1E.TXT.r_8837# bdag gi dngos la mi gnas phyir // / +zhes bya ba la / / +rang zhes bya ba'i don ni rang nyid dngos po med pa'i phyir ngo bo nyid med pa zhes bya ste / / "
"2958587","TD4031E.TXT.r_3;TD4031E.TXT.r_4;TD4031E.TXT.r_5"," bod skad du / / +mdo sde rgyan gyi don bsdus pa / / +'phags pa byams pa la phyag 'tshal lo // / ","0.0#TD4034.1E.TXT.r#958582#958594#TD4034.1E.TXT.r_8836;TD4034.1E.TXT.r_8837;TD4034.1E.TXT.r_8838;TD4034.1E.TXT.r_8839# zhes bya ba la / / +rang zhes bya ba'i don ni rang nyid dngos po med pa'i phyir ngo bo nyid med pa zhes bya ste / / "
"2958598","TD4031E.TXT.r_6"," ma bshad pa'i skyon dang  bshad pa'i skyon dang  phyin ci log tu bshad pa'i skyon gsum dang bral bar bshad par bya'o // / ","0.0#TD4034.1E.TXT.r#958593#958603#TD4034.1E.TXT.r_8839;TD4034.1E.TXT.r_8840# gzhan gyi dbang gi chos rnams skye ba'i tshe rgyu dang rkyen gzhan gyis bskyed par zad kyi rang nyid  kyis rang nyid bskyed par mi nus pa'i phyir te / / "
"2958608","TD4031E.TXT.r_7"," de ni ston pa dang  ston pa'i tshig dang   bstan par bya ba'i chos dang  bstan par bya ba'i thabs bla na med pa'o // / ","0.0#TD4034.1E.TXT.r#958604#958611#TD4034.1E.TXT.r_8839;TD4034.1E.TXT.r_8840;TD4034.1E.TXT.r_8841# gzhan gyi dbang gi chos rnams skye ba'i tshe rgyu dang rkyen gzhan gyis bskyed par zad kyi rang nyid  kyis rang nyid bskyed par mi nus pa'i phyir te / / +'dis ni skye ba rang bzhin med par bstan to // / "
"2958616","TD4031E.TXT.r_8"," dang po la ston pa'i dbye ba dang  ser sna dgag pa dang  chos bstan pa don yod pa dang gsum mo // / ","0.0#TD4034.1E.TXT.r#958612#958619#TD4034.1E.TXT.r_8840;TD4034.1E.TXT.r_8841# 'dis ni skye ba rang bzhin med par bstan to // / +yang na chos rnams ni ma 'ongs pa'i dus na med pa las byung ba la skye ba zhes bya ba las mu stegs pa grangs can rnams kyi gtso bo zhes bya ba yod pa las chos rnams skye zhe'am / / "
"2958624","TD4031E.TXT.r_9;TD4031E.TXT.r_10"," rgyal sras tshig ni mi zhen dang / / +zhes bya ba la sogs pa tshig brgyad kyis ston pa'i tshig go // / ","0.0#TD4034.1E.TXT.r#958620#958629#TD4034.1E.TXT.r_8841;TD4034.1E.TXT.r_8842# yang na chos rnams ni ma 'ongs pa'i dus na med pa las byung ba la skye ba zhes bya ba las mu stegs pa grangs can rnams kyi gtso bo zhes bya ba yod pa las chos rnams skye zhe'am / / "
"2958634","TD4031E.TXT.r_11"," rgyal ba byams pas bshad pa'i mdo sde'i rgyan la bstan par bya ba'i chos ni gcig ste / / ","0.0#TD4034.1E.TXT.r#958630#958637#TD4034.1E.TXT.r_8841;TD4034.1E.TXT.r_8842# yang na chos rnams ni ma 'ongs pa'i dus na med pa las byung ba la skye ba zhes bya ba las mu stegs pa grangs can rnams kyi gtso bo zhes bya ba yod pa las chos rnams skye zhe'am / / +sa bon la myu gu yod bzhin  du rgyu rkyen gyis bskyed do zhes rang nyid kyi dngos po yod pas skye ba med pa'i phyir ngo bo nyid med pa zhes bya'o // / "
"2958642","TD4031E.TXT.r_12;TD4031E.TXT.r_13"," nyes pa brgyad kyi gnyen por theg pa mchog go // / +de bstan par bya ba'i thabs bla na med pa la gnyis te / / ","0.0#TD4034.1E.TXT.r#958638#958648#TD4034.1E.TXT.r_8842;TD4034.1E.TXT.r_8843;TD4034.1E.TXT.r_8844# sa bon la myu gu yod bzhin  du rgyu rkyen gyis bskyed do zhes rang nyid kyi dngos po yod pas skye ba med pa'i phyir ngo bo nyid med pa zhes bya'o // / "
"2958651","TD4031E.TXT.r_14;TD4031E.TXT.r_15"," zab pa dang  rgya che ba'o // / +de yang rnam pa gsum dang ldan pa'i dbang du byas nas bshad de /// / ","0.0#TD4034.1E.TXT.r#958647#958654#TD4034.1E.TXT.r_8843;TD4034.1E.TXT.r_8844;TD4034.1E.TXT.r_8845# rang gi bdag nyid du dngos po med pa'i phyir ngo bo nyid med pa zhes bya ste / / ","0.0#TD4034.1E.TXT.r#958691#958698#TD4034.1E.TXT.r_8848;TD4034.1E.TXT.r_8849;TD4034.1E.TXT.r_8847;TD4034.1E.TXT.r_8850;TD4034.1E.TXT.r_8851# bdag  gi dngos po la mi gnas pa'i phyir / / +ngo bo nyid med pa zhes bya ste / / "
"2958659","TD4031E.TXT.r_16"," sgra ni nges par rtogs pa'i dbang du byas nas bshad pa dang  sgrub pa nyams su len pa'i dbang du byas nas bshad pa dang  byang chub sems dpa'i rigs dang ldan pa'i mkhas pa'i dbang du byas te bshad pa'o // / ","0.0#TD4034.1E.TXT.r#958655#958668#TD4034.1E.TXT.r_8845;TD4034.1E.TXT.r_8846;TD4034.1E.TXT.r_8847# dngos po rnams 'gags te zhes pa rnams slar yang bzlas nas sngon gyi rang bzhin du skye ba med  pa'i phyir te / / "
