
"0","",""
"889388","TD4034.1E.TXT.r_1;TD4034.1E.TXT.r_2"," rgya gar skad du / / +s'u tra aa lam ka ra britti bh'a shyam / / ","0.026#TD4029E.TXT.r#2120487#2120487#TD4029E.TXT.r_2;TD4029E.TXT.r_3# ma h'a y'a na s'u TRA AA LAM KA RA T'I ka / / +bod skad du / / ","0.027#TD4060E.TXT.r#680388#680388#TD4060E.TXT.r_1;TD4060E.TXT.r_2# RGYA GAR SKAD DU / / +by'a khy'a yukti s'u tra khanda sha tam / / ","0.028#TD4031E.TXT.r#2958579#2958580#TD4031E.TXT.r_1;TD4031E.TXT.r_2# RGYA GAR SKAD DU / / +s'u tr'a lam ka  ra pand'a rtha / / "
"889397","TD4034.1E.TXT.r_3;TD4034.1E.TXT.r_4;TD4034.1E.TXT.r_5"," bod skad du / / +mdo sde rgyan gyi 'grel bshad / / +'phags pa 'jam dpal la phyag 'tshal lo // / "
"889409","TD4034.1E.TXT.r_6;TD4034.1E.TXT.r_7"," dkon mchog gsum dd  po rin chen gter gyur dang / / +yang dag sh'a ka thub sras kyi thu bo dang / / "
"889418","TD4034.1E.TXT.r_8;TD4034.1E.TXT.r_9"," rgyal ba bdag nyid khyu mchog de de dang / / +chags med sras kyi gcung la mos pa dang / / "
"889426","TD4034.1E.TXT.r_10;TD4034.1E.TXT.r_11"," bstan bcos gsal  bar 'gro la snang byed dang / / +bla ma gtso bo gang las 'di thos pa // / "
"889437","TD4034.1E.TXT.r_12;TD4034.1E.TXT.r_13"," rtag par kun la bdag gis sar gtugs te // / +gus dang bcas pas spyi bos phyag 'tshal nas // / "
"889448","TD4034.1E.TXT.r_14;TD4034.1E.TXT.r_15"," don la bsam bya  bdag blo blun pa dang / / +bstan bcos 'di yi tshig don zab pa yang // / "
"889459","TD4034.1E.TXT.r_16;TD4034.1E.TXT.r_17"," 'grel ba'i bsam pa bdag la ma byung bas // / +de phyir bdag la phan phyir cung zad bya // / "
"889469","TD4034.1E.TXT.r_18;TD4034.1E.TXT.r_19"," theg pa chen po mdo sde'i  rgyan gyi lus su bzhag pa ni / / +mdor na rigs la gnas pa'i byang chub sems dpas bla na med pa yang dag par rdzogs pa'i byang chub tu sems bskyed nas / / ","0.0#TD4029E.TXT.r#2120576#2120578#TD4029E.TXT.r_19# THEG PA CHEN PO'I MDO SDE'I RGYAN GYI LUS NI byang chub sems dpa'i rigs  la gnas pa DAG BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU SEMS BSKYED NAS byang chub sems dpa'i spyod pa la slob po // / ","0.022#TD4037E.TXT.r#1380492#1380492#TD4037E.TXT.r_8510;TD4037E.TXT.r_8511# RIGS LA GNAS PA'I BYANG CHUB SEMS DPA' NI BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU SEMS SKYED PAR byed do // / +sems bskyed nas bdag dang gzhan gyi don la sbyor ro // / ","0.022#TD4047E.TXT.r#1231858#1231858#TD4047E.TXT.r_15704;TD4047E.TXT.r_15705# RIGS LA GNAS PA'I BYANG CHUB SEMS DPA'  NI BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU SEMS SKYED PAR byed do / / +sems bskyed nas bdag dang gzhan gyi don la sbyar ro // / ","0.025#TD4010E.TXT.r#2270612#2270613#TD4010E.TXT.r_5176# btsun mo'i 'khor de dang grong khyer pa'i skye bo 'dus pa de dag las srog chags khri nyis stong BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU SEMS BSKYED DO zhes bya ba'o // / ","0.026#TD4037E.TXT.r#1318129#1318129#TD4037E.TXT.r_294# byang chub sems dpa' sems de bskyed nas rim GYIS BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur gyi / / "
"889485","TD4034.1E.TXT.r_20;TD4034.1E.TXT.r_21;TD4034.1E.TXT.r_22"," byang chub sems dpa'i spyod pa la bslab     // / +par bya ba de ston to // / +de la rigs la gnas pa zhes bya ba la / / "
