
"0","",""
"1883811","TD4094.2E.TXT.r_1;TD4094.2E.TXT.r_2"," sman pa'i rgyal po yan lag rnam pa bzhi dang ldan pa zhes bya ba la / / +gleng gzhi ni mnyan du yod pa na'o // / ","0.0#TD4093.1E.TXT.r#883810#883816#TD4093.1E.TXT.r_18795;TD4093.1E.TXT.r_18796;TD4093.1E.TXT.r_18797;TD4093.1E.TXT.r_18798# gnod pa lhag pa'i gnas yin pa'i phyir lhag pa zhes bya STE ZHES BYA BA LA / / +lhag pa'i sgra ni bla lhag pa'i don to // / ","0.020#TD4092.1E.TXT.r#1505505#1505507#TD4092.1E.TXT.r_12274;TD4092.1E.TXT.r_12275;TD4092.1E.TXT.r_12276# gnod pa lhag pa'i gnas yin  pa'i phyir LHAG PA ZHES BYA BA NI lhag ces bya ba'i sgra ni lhag pa'i don yin te / / +'di dag tu lhag par gnod par byed pas na lhag pa yin no // / "
"1883821","TD4094.2E.TXT.r_3"," yan lag rnam pa bzhi dang ldan pa'i sman pa zug rngu 'byin pa dd  ni rgyal po la 'os shing rgyal po la rigs pa rgyal po'i yan lag gi grangs su 'gro'o // / ","0.0#TD4093.1E.TXT.r#883817#883831#TD4093.1E.TXT.r_18797;TD4093.1E.TXT.r_18798;TD4093.1E.TXT.r_18799;TD4093.1E.TXT.r_18800;TD4093.1E.TXT.r_18801# 'di dag tu lhag par 'bying bas na lhag pa yin gyi / / +lhag par gnod pa ma yin te / / ","0.018#TD4092.1E.TXT.r#1505518#1505518#TD4092.1E.TXT.r_12278;TD4092.1E.TXT.r_12279# dmyal ba dang tu zhes bya ba rgyas par smos so // / +gzhan dag na re zhes bya ba ni gnas brtan  yid 'ong ste / / "
"1883836","TD4094.2E.TXT.r_4"," bzhi gang zhe na dge slong dag 'di la sman pa zug rngu 'byin pa nad la mkhas par gyur pa dang  nad kun  nas slong ba la mkhas pa dang  nad kun nas spang ba la mkhas pa dang  nad byung ba dag phyir mi ldog par bya ba'i thabs la mkhas par gyur pa'o // / ","0.0#TD4093.1E.TXT.r#883832#883839#TD4093.1E.TXT.r_18800;TD4093.1E.TXT.r_18801# gzhan dag ces bya ba ni gnas brtan yid 'ong ste / / +de'i rtsa ba'i dmyal ba'i sdug bsngal bas 'di ches zhan pa'i phyir lhag pa zhes bya ba'i sgra bla lhag pa'i don la mi 'dod de / / ","0.0#TD4093.1E.TXT.r#883839#883849#TD4093.1E.TXT.r_18801;TD4093.1E.TXT.r_18802;TD4093.1E.TXT.r_18803;TD4093.1E.TXT.r_18804# de'i rtsa ba'i dmyal ba'i sdug bsngal bas 'di ches zhan pa'i phyir lhag pa zhes bya ba'i sgra bla lhag pa'i don la mi 'dod de / / ","0.0#TD4093.1E.TXT.r#883849#883858#TD4093.1E.TXT.r_18803;TD4093.1E.TXT.r_18804;TD4093.1E.TXT.r_18805# lhag pa'i sgra 'og gi don du 'dod do // / +des na dmyal     // / ","0.027#TD4092.1E.TXT.r#1505540#1505540#TD4092.1E.TXT.r_12282# mnar med pa la sogs pa'i dmyal ba'i 'ching ba'i 'og tu me ma mur la sogs pa 'di dag tu 'byung bas na de'i phyir de dag ni lhag pa'o zhes bya ba'o // / "
"1883862","TD4094.2E.TXT.r_5"," dge slong dag ji ltar na sman pa zug rngu 'byin  pa nad la mkhas par gyur pa yin zhe na / / ","0.0#TD4093.1E.TXT.r#883859#883866#TD4093.1E.TXT.r_18805;TD4093.1E.TXT.r_18806;TD4093.1E.TXT.r_18807# ba'i 'ching ba'i 'og tu me mar mur la sogs pa 'di dag tu 'bying bas na lhag pa'o // / +dri ba las dri gzhan 'byung ste // / "
"1883871","TD4094.2E.TXT.r_6"," dge slong dag 'di la sman pa zug rngu 'byin pa nad 'di ni 'di dang 'di lta bu'o zhes nad shes par gyur pa yin te / / ","0.0#TD4093.1E.TXT.r#883867#883879#TD4093.1E.TXT.r_18806;TD4093.1E.TXT.r_18807# dri ba las dri gzhan 'byung ste // / +zhes bya ba ni dmyal ba phyogs ni gang rol na yod tshad ni ji tsam zhes bya ba'i dri ba 'di la da lta ci dmyal ba'i srung ma de dag zhes bya ba rgyas par smos pa  'di 'byung ngo // / "
"1883884","TD4094.2E.TXT.r_7"," dge slong dag 'di ltar na sman pa zug rngu  'byin pa nad la mkhas par gyur pa yin no // / ","0.0#TD4093.1E.TXT.r#883880#883887#TD4093.1E.TXT.r_18807;TD4093.1E.TXT.r_18808# zhes bya ba ni dmyal ba phyogs ni gang rol na yod tshad ni ji tsam zhes bya ba'i dri ba 'di la da lta ci dmyal ba'i srung ma de dag zhes bya ba rgyas par smos pa  'di 'byung ngo // / "
"1883892","TD4094.2E.TXT.r_8;TD4094.2E.TXT.r_9"," dge slong dag ji ltar na sman pa zug rngu 'byin pa / / +nad kun nas slong pa la mkhas par gyur pa yin zhe na / / ","0.0#TD4093.1E.TXT.r#883888#883900#TD4093.1E.TXT.r_18807;TD4093.1E.TXT.r_18808;TD4093.1E.TXT.r_18809# zhes bya ba ni dmyal ba phyogs ni gang rol na yod tshad ni ji tsam zhes bya ba'i dri ba 'di la da lta ci dmyal ba'i srung ma de dag zhes bya ba rgyas par smos pa  'di 'byung ngo // / +da ni ji ltar na de dag gyo zhes bya ba ni shing la sogs pa sems pa med pa rnams mi gyo ba'i phyir la / / "
"1883904","TD4094.2E.TXT.r_10;TD4094.2E.TXT.r_11"," dge slong dag 'di la sman pa zug rngu 'byin pa     // / +nad 'di ni rlung gis kun nas bslang ba / / ","0.0#TD4093.1E.TXT.r#883897#883909#TD4093.1E.TXT.r_18808;TD4093.1E.TXT.r_18809;TD4093.1E.TXT.r_18810;TD4093.1E.TXT.r_18811# da ni ji ltar na de dag gyo zhes bya ba ni shing la sogs pa sems pa med pa rnams mi gyo ba'i phyir la / / +de las bzlog ste sems dang sems las gyo ba mthong ba'i phyir dri ba ste / / "
"1883914","TD4094.2E.TXT.r_12;TD4094.2E.TXT.r_13"," nad 'di ni mkhris pas kun nas bslang ba / / +nad 'di ni bad kan gyis kun nas bslang ba / / ","0.0#TD4093.1E.TXT.r#883910#883918#TD4093.1E.TXT.r_18811;TD4093.1E.TXT.r_18812;TD4093.1E.TXT.r_18813# rang lus blo sngon 'gro ba yi // / +bya ba mthong nas gzhan la der // / ","1.192#TD4019E.TXT.r#2424335#2424339#TD4019E.TXT.r_2256;TD4019E.TXT.r_2257;TD4019E.TXT.r_2258# rang lus blo sngon 'gro ba yis // / +bya ba mthong nas gzhan la de // / "
"1883923","TD4094.2E.TXT.r_14;TD4094.2E.TXT.r_15;TD4094.2E.TXT.r_16"," nad 'di ni 'dus pas kun nas bslang ba / / +'di ni glo bur ba / / +'di ni  dus yongs su 'gyur ba zhes nad kun nas slong ba shes par gyur pa yin te / / ","0.0#TD4093.1E.TXT.r#883919#883932#TD4093.1E.TXT.r_18813;TD4093.1E.TXT.r_18814;TD4093.1E.TXT.r_18815;TD4093.1E.TXT.r_18816;TD4093.1E.TXT.r_18817# 'dzin phyir blo yod gang na de // / +med der blo ni med par rtogs // / "
"1883937","TD4094.2E.TXT.r_17"," dge slong dag 'di ltar na sman pa zug rngu 'byin pa nad kun nas slong ba la mkhas par gyur pa yin no // / ","0.0#TD4093.1E.TXT.r#883933#883942#TD4093.1E.TXT.r_18816;TD4093.1E.TXT.r_18817;TD4093.1E.TXT.r_18818;TD4093.1E.TXT.r_18819# 'chags pa'i rlung bzhin no zhes bya ba ni / / +dper na 'chags pa'i rlung dag ni sems can rnams kyi las kyi dbang gis snod kyi 'jig rten 'grub pa dang  rjes su mthun PAR GYO BA YIN NO // / "
"1883946","TD4094.2E.TXT.r_18"," dge slong dag ji ltar na sman pa zug rngu 'byin pa  nad byang ba'i thabs la mkhas pa yin zhe na / / ","0.0#TD4093.1E.TXT.r#883941#883951#TD4093.1E.TXT.r_18817;TD4093.1E.TXT.r_18818;TD4093.1E.TXT.r_18819;TD4093.1E.TXT.r_18820# dper na 'chags pa'i rlung dag ni sems can rnams kyi las kyi dbang gis snod kyi 'jig rten 'grub pa dang  rjes su mthun par gyo ba yin no // / +de dag sems can du bgrang ba ni ma yin te / / "
"1883956","TD4094.2E.TXT.r_19"," dge slong dag 'di la sman pa zug rngu 'byin pa nad 'di ni mig sman gyis / / ","0.0#TD4093.1E.TXT.r#883952#883963#TD4093.1E.TXT.r_18819;TD4093.1E.TXT.r_18820;TD4093.1E.TXT.r_18821# dmyal ba'i snod kyi rgyu can gyi sdug bsngal nyams su mi myong ba'i phyir ro // / +de'i phyir dmyal ba'i srung ma dag ni 'byung ba dang 'byung ba las gyur pa tsam du zad pas sems pa med pa yin te / / "
"1883967","TD4094.2E.TXT.r_20;TD4094.2E.TXT.r_21;TD4094.2E.TXT.r_22"," 'di ni mig sman so sos / / +'di ni skyug pas / / +'di ni 'khru bas / / ","0.0#TD4093.1E.TXT.r#883962#883972#TD4093.1E.TXT.r_18820;TD4093.1E.TXT.r_18821;TD4093.1E.TXT.r_18822# de'i phyir dmyal ba'i srung ma dag ni 'byung ba dang 'byung ba las gyur pa tsam du zad pas sems pa med pa yin te / / +lug lta bu'i ri dang tsher ma la sogs pa bzhin  no ; / / ","0.019#TD4090.1E.TXT.r#1637524#1637524#TD4090.1E.TXT.r_6997;TD4090.1E.TXT.r_6998# 'chags pa'i rlung bzhin no // / +'o na btsun pa chos ldan rab 'byor gyis // / "
