id,label
an1.219-234,an1.219-234
kv1.3,kv1.3
an1.188-197,an1.188-197
mn64,mn64
an1.198-208,an1.198-208
kv3.10,kv3.10
sn36.8,sn36.8
vv64,vv64
sn32.13-52,sn32.13-52
mnd9,mnd9
sn46.3,sn46.3
an1.258-267,an1.258-267
ja116,ja116
ja26,ja26
pv36,pv36
an8.11,an8.11
patthana20.5,patthana20.5
ja111,ja111
ja24,ja24
ja113,ja113
ja22,ja22
vb12,vb12
an1.209-218,an1.209-218
sn1.23,sn1.23
an1.51-60,an1.51-60
thi-ap32,thi-ap32
an1.394-574,an1.394-574
sn11.1,sn11.1
ne18,ne18
dn12,dn12
ja290,ja290
sn46.31,sn46.31
an1.306-315,an1.306-315
an10.62,an10.62
ya7.2.5,ya7.2.5
an1.31-40,an1.31-40
patthana8.73,patthana8.73
ds2.1.2,ds2.1.2
pp2.3,pp2.3
ja545,ja545
patthana14.4,patthana14.4
mil6.3.2,mil6.3.2
an1.1-10,an1.1-10
an1.41-50,an1.41-50
patthana1.17,patthana1.17
an5.158,an5.158
ja544,ja544
iti44,iti44
iti20,iti20
mnd8,mnd8
ja506,ja506
dn29,dn29
dn10,dn10
dn2,dn2
mn77,mn77
sn55.43,sn55.43
sn45.160,sn45.160
sn52.8,sn52.8
patthana3.12,patthana3.12
kv2.7,kv2.7
an1.71-81,an1.71-81
ja378,ja378
iti17,iti17
tha-ap489,tha-ap489
sn45.155,sn45.155
ps2.4,ps2.4
mn149,mn149
an10.15,an10.15
patthana22.19,patthana22.19
ja45,ja45
ne15,ne15
ja63,ja63
patthana3.13,patthana3.13
ja64,ja64
ja70,ja70
ja68,ja68
ya2.1.2,ya2.1.2
ya3.2.2,ya3.2.2
ja62,ja62
dn20,dn20
mil7.8.4,mil7.8.4
an1.61-70,an1.61-70
vb16,vb16
ja44,ja44
pe5,pe5
mn9,mn9
ja47,ja47
ds2.1.8,ds2.1.8
ja50,ja50
ja43,ja43
ja48,ja48
an1.21-30,an1.21-30
ja27,ja27
ja8,ja8
patthana2.2,patthana2.2
an1.170-187,an1.170-187
an3.63,an3.63
patthana3.11,patthana3.11
sn46.44,sn46.44
an3.30,an3.30
an3.114,an3.114
an1.316-332,an1.316-332
kv1.1,kv1.1
an2.52-63,an2.52-63
bv21,bv21
snp1.2,snp1.2
mn87,mn87
an10.109,an10.109
mn65,mn65
an1.98-139,an1.98-139
an2.11-20,an2.11-20
an4.180,an4.180
an5.154,an5.154
mil7.7.6,mil7.7.6
an5.156,an5.156
an1.150-169,an1.150-169
an2.32-41,an2.32-41
an1.140-149,an1.140-149
mn31,mn31
an4.36,an4.36
kv8.1,kv8.1
an5.91,an5.91
sn12.70,sn12.70
sn1.20,sn1.20
dn21,dn21
dn26,dn26
iti14,iti14
mn150,mn150
an5.55,an5.55
an1.235-247,an1.235-247
ya7.2.3,ya7.2.3
an5.88,an5.88
sn3.8,sn3.8
pli-tv-pvr21,pli-tv-pvr21
ja61,ja61
mn117,mn117
ja365,ja365
sn28.5,sn28.5
an1.248-257,an1.248-257
an1.82-97,an1.82-97
sn46.49,sn46.49
an1.11-20,an1.11-20
pli-tv-pvr5,pli-tv-pvr5
sn46.23,sn46.23
patthana5.2,patthana5.2
